ID_c;Age;Gender;Location;Frequency of Purchases
1;55;Male;Kentucky;Fortnightly
2;19;Male;Maine;Fortnightly
3;50;Male;Massachusetts;Weekly
4;21;Male;Rhode Island;Weekly
5;45;Male;Oregon;Annually
6;46;Male;Wyoming;Weekly
7;63;Male;Montana;Quarterly
8;27;Male;Louisiana;Weekly
9;26;Male;West Virginia;Annually
10;57;Male;Missouri;Quarterly
11;53;Male;Arkansas;Bi-Weekly
12;30;Male;Hawaii;Fortnightly
13;61;Male;Delaware;Fortnightly
14;65;Male;New Hampshire;Weekly
15;64;Male;New York;Weekly
16;64;Male;Rhode Island;Monthly
17;25;Male;Alabama;Bi-Weekly
18;53;Male;Mississippi;Quarterly
19;52;Male;Montana;Weekly
20;66;Male;Rhode Island;Bi-Weekly
21;21;Male;Louisiana;Every 3 Months
22;31;Male;North Carolina;Quarterly
23;56;Male;California;Annually
24;31;Male;Oklahoma;Weekly
25;18;Male;Florida;Weekly
26;18;Male;Texas;Annually
27;38;Male;Nevada;Annually
28;56;Male;Kentucky;Every 3 Months
29;54;Male;North Carolina;Every 3 Months
30;31;Male;Wyoming;Weekly
31;57;Male;North Carolina;Monthly
32;33;Male;West Virginia;Monthly
33;36;Male;Kansas;Annually
34;54;Male;Colorado;Quarterly
35;36;Male;North Dakota;Quarterly
36;54;Male;Massachusetts;Bi-Weekly
37;35;Male;Illinois;Fortnightly
38;35;Male;Indiana;Weekly
39;29;Male;Florida;Every 3 Months
40;70;Male;Arizona;Monthly
41;69;Male;Louisiana;Quarterly
42;67;Male;Alaska;Annually
43;20;Male;Tennessee;Annually
44;25;Male;Ohio;Fortnightly
45;39;Male;Kentucky;Weekly
46;50;Male;Tennessee;Annually
47;57;Male;California;Quarterly
48;55;Male;Montana;Weekly
49;42;Male;Nevada;Monthly
50;68;Male;New Jersey;Bi-Weekly
51;49;Male;Maryland;Bi-Weekly
52;59;Male;Vermont;Quarterly
53;42;Male;Alaska;Weekly
54;29;Male;Mississippi;Weekly
55;47;Male;New Mexico;Bi-Weekly
56;40;Male;South Carolina;Annually
57;41;Male;Mississippi;Weekly
58;21;Male;West Virginia;Fortnightly
59;69;Male;Missouri;Monthly
60;63;Male;Louisiana;Weekly
61;50;Male;Idaho;Weekly
62;55;Male;Texas;Every 3 Months
63;30;Male;Mississippi;Fortnightly
64;33;Male;Arizona;Weekly
65;65;Male;Alabama;Fortnightly
66;65;Male;New Jersey;Every 3 Months
67;31;Male;Pennsylvania;Every 3 Months
68;45;Male;Connecticut;Monthly
69;57;Male;Utah;Every 3 Months
70;48;Male;Tennessee;Weekly
71;22;Male;Alabama;Every 3 Months
72;36;Male;Virginia;Annually
73;18;Male;Georgia;Every 3 Months
74;48;Male;Hawaii;Bi-Weekly
75;49;Male;Indiana;Monthly
76;64;Male;Utah;Annually
77;50;Male;Delaware;Monthly
78;22;Male;Delaware;Fortnightly
79;50;Male;Nebraska;Fortnightly
80;38;Male;Iowa;Every 3 Months
81;19;Male;New York;Every 3 Months
82;67;Male;Virginia;Every 3 Months
83;19;Male;Georgia;Every 3 Months
84;36;Male;Texas;Weekly
85;52;Male;Arizona;Every 3 Months
86;53;Male;New Mexico;Bi-Weekly
87;24;Male;Nevada;Bi-Weekly
88;52;Male;Ohio;Fortnightly
89;33;Male;Wyoming;Monthly
90;47;Male;California;Quarterly
91;25;Male;South Carolina;Monthly
92;44;Male;South Carolina;Every 3 Months
93;61;Male;Texas;Every 3 Months
94;37;Male;Florida;Weekly
95;58;Male;Nevada;Weekly
96;37;Male;Missouri;Monthly
97;32;Male;Delaware;Every 3 Months
98;21;Male;Virginia;Annually
99;20;Male;New York;Annually
100;26;Male;Missouri;Quarterly
101;62;Male;South Dakota;Fortnightly
102;27;Male;North Dakota;Bi-Weekly
103;51;Male;Oklahoma;Quarterly
104;54;Male;West Virginia;Bi-Weekly
105;55;Male;New Hampshire;Monthly
106;69;Male;New York;Annually
107;64;Male;Minnesota;Monthly
108;28;Male;Maryland;Fortnightly
109;70;Male;Montana;Bi-Weekly
110;58;Male;Alabama;Fortnightly
111;56;Male;New York;Fortnightly
112;26;Male;Massachusetts;Annually
113;37;Male;Florida;Bi-Weekly
114;44;Male;New Jersey;Quarterly
115;70;Male;Massachusetts;Weekly
116;53;Male;Wyoming;Every 3 Months
117;55;Male;Virginia;Annually
118;50;Male;South Dakota;Fortnightly
119;50;Male;Kentucky;Bi-Weekly
120;38;Male;Wyoming;Annually
121;64;Male;West Virginia;Annually
122;19;Male;Virginia;Fortnightly
123;40;Male;Washington;Fortnightly
124;57;Male;Louisiana;Weekly
125;44;Male;Nevada;Annually
126;49;Male;California;Every 3 Months
127;43;Male;Mississippi;Every 3 Months
128;24;Male;Mississippi;Weekly
129;20;Male;California;Fortnightly
130;24;Male;Pennsylvania;Bi-Weekly
131;44;Male;Kentucky;Fortnightly
132;28;Male;Maine;Weekly
133;30;Male;New Mexico;Weekly
134;52;Male;Montana;Annually
