Uniqe_Id;Product Name;Category;List Price;Selling Price;Model Number;Shipping Weight;Product Dimensions;Color;Is Amazon Seller
1;"DB Longboards CoreFlex Crossbow 41"" Bamboo Fiberglass Longboard Complete";Baby Products;154,492;237,68 Ä;;10.7 pounds;;Gray;Y
2;Electronic Snap Circuits Mini Kits Classpack, FM Radio, Motion Detector, Music Box (Set of 5);Baby & Toddler Toys;64,9675;99,95 Ä;55324;4 pounds;14.7 x 11.1 x 10.2 inches  4.06 pounds;Maroon;Y
3;3Doodler Create Flexy 3D Printing Filament Refill Bundle (X5 Pack, Over 1000'. of Extruded Plastics! - Innovate;Baby & Toddler Toys;22,7435;34,99 Ä;;12.8 ounces;;Maroon;Y
4;Guillow Airplane Design Studio with Travel Case Building Kit;Baby & Toddler Toys;18,7915;28,91 Ä;142;13.4 ounces;;Maroon;Y
5;Woodstock- Collage 500 pc Puzzle;Baby & Toddler Toys;11,3685;17,49 Ä;62151;13.4 ounces;;Turquoise;Y
6;"Terra by Battat ‚Äì 4 Dinosaur Toys, Medium ‚Äì Dinosaurs for Kids & Collectors, Scientifically Accurate & Designed by A Paleo-Artist; Age 3+ (4 Pc)";Baby Products;12,129;18,66 Ä;AN4054Z;1.4 pounds;;White;Y
7;Rubie's Child's Pokemon Deluxe Pikachu Costume, X-Small;Baby Products;18,928;29,12 Ä;B07BZJM592;9.8 ounces;;Gray;Y
8;Hoffmaster 120813 Double-Tipped Triangular Crayon, 88 mm Length, Wrapped (500 Packs of 2);Costumes & Accessories;63,492;97,68 Ä;;2.9 pounds;;Charcoal;Y
9;"ARTSCAPE Etched Glass 24"" x 36"" Window Film, 24-by-36-Inch";Home & Kitchen;8,4435;12,99 Ä;01-0121;12.2 ounces;;Silver;Y
10;Pokemon TCG: Sun and Moon Crimson Invasion Elite Trainer Box;Costumes & Accessories;25,0185;38,49 Ä;820650802607-1;1.5 pounds;;Pink;Y
11;Moonlite, 3-Story Bundle for Boys, Includes 3 Story Reels for Use with Storybook Projector;Collectible Toys;11,804;18,16 Ä;6054517;3.2 ounces;;Purple;Y
12;DC Cover Girls: Black Canary by Jo√´lle Jones Statue;Baby Products;54,9965;84,61 Ä;JAN190710;2.1 pounds;;Olive;Y
13;Baby Doll Bedding Chevron Window Valance and Curtain Set, Orange;Clothing, Shoes & Jewelry;22,048;33,92 Ä;;2.9 pounds;;Gold;Y
14;LEGO Minecraft Creeper BigFig and Ocelot Characters 21156 Buildable Toy Minecraft Figure Gift Set for Play and Decoration, New 2020 (184 Pieces);Clothing, Shoes & Jewelry;9,7435;14,99 Ä;6288704;5.6 ounces;;Violet;Y
15;C&D Visionary DC Comic Originals Flash Logo Sticker;Baby & Toddler Toys;3,2435;4,99 Ä;S-DC-0140;1.6 ounces;;Teal;Y
16;The Learning Journey ABC Melody Maker, Primary;Sports & Outdoors;22,3535;34,39 Ä;299142;2.1 pounds;;Teal;Y
