user_id;id_p;Quantity;Time stamp;Size;Review Rating;Subscription Status;Shipping Type;Discount Applied;Promo Code Used;Payment Method
3422;4202;18;10/10/2023;L;3.1;Yes;Express;Yes;Yes;Venmo
2915;788;15;11/10/2023;L;3.1;Yes;Express;Yes;Yes;Cash
2295;8626;12;12/10/2023;S;3.1;Yes;Free Shipping;Yes;Yes;Credit Card
13;3425;19;13/10/2023;M;3.5;Yes;Next Day Air;Yes;Yes;PayPal
1277;353;11;14/10/2023;M;2.7;Yes;Free Shipping;Yes;Yes;PayPal
2180;4509;8;15/10/2023;M;2.9;Yes;Standard;Yes;Yes;Venmo
2897;6280;2;16/10/2023;M;3.2;Yes;Free Shipping;Yes;Yes;Cash
417;123;19;17/10/2023;L;3.2;Yes;Free Shipping;Yes;Yes;Credit Card
1831;9960;8;18/10/2023;L;2.6;Yes;Express;Yes;Yes;Venmo
420;2443;16;19/10/2023;M;4.8;Yes;2-Day Shipping;Yes;Yes;Cash
2345;6857;8;20/10/2023;L;4.1;Yes;Store Pickup;Yes;Yes;Bank Transfer
2029;3953;12;21/10/2023;S;4.9;Yes;Store Pickup;Yes;Yes;Bank Transfer
638;4667;4;22/10/2023;M;4.5;Yes;Express;Yes;Yes;Venmo
2088;8269;8;23/10/2023;M;4.7;Yes;Express;Yes;Yes;PayPal
2084;4371;2;24/10/2023;L;4.7;Yes;Free Shipping;Yes;Yes;Debit Card
1559;976;3;25/10/2023;M;2.8;Yes;Store Pickup;Yes;Yes;PayPal
2636;8777;6;26/10/2023;S;4.1;Yes;Next Day Air;Yes;Yes;Debit Card
322;1229;2;27/10/2023;XL;4.7;Yes;2-Day Shipping;Yes;Yes;Venmo
3061;7450;15;28/10/2023;S;4.6;Yes;Free Shipping;Yes;Yes;Cash
1144;4648;3;29/10/2023;M;3.3;Yes;Standard;Yes;Yes;Debit Card
3571;5392;7;30/10/2023;M;2.8;Yes;Express;Yes;Yes;Cash
38;5264;18;31/10/2023;M;4.1;Yes;Store Pickup;Yes;Yes;Debit Card
943;5752;20;01/11/2023;M;3.2;Yes;Store Pickup;Yes;Yes;Debit Card
1557;5432;2;02/11/2023;XL;4.4;Yes;Express;Yes;Yes;Credit Card
1564;1944;13;03/11/2023;M;2.9;Yes;Store Pickup;Yes;Yes;Debit Card
2595;8952;1;04/11/2023;M;3.6;Yes;Express;Yes;Yes;PayPal
1149;7428;7;05/11/2023;M;3.6;Yes;Next Day Air;Yes;Yes;Credit Card
3113;5298;20;06/11/2023;L;5;Yes;Next Day Air;Yes;Yes;Bank Transfer
495;7054;16;07/11/2023;M;4.4;Yes;Free Shipping;Yes;Yes;PayPal
623;5080;12;08/11/2023;S;4.1;Yes;Store Pickup;Yes;Yes;Credit Card
2688;3136;5;09/11/2023;L;4.7;Yes;Standard;Yes;Yes;Credit Card
2647;6164;19;10/11/2023;L;4.7;Yes;Store Pickup;Yes;Yes;Venmo
981;4972;18;11/11/2023;M;4.9;Yes;Free Shipping;Yes;Yes;Venmo
385;5453;3;12/11/2023;L;3.3;Yes;Store Pickup;Yes;Yes;Cash
506;4905;10;13/11/2023;L;4.6;Yes;2-Day Shipping;Yes;Yes;PayPal
3174;9875;5;14/11/2023;M;4;Yes;2-Day Shipping;Yes;Yes;Credit Card
360;8781;11;15/11/2023;M;4.6;Yes;Free Shipping;Yes;Yes;PayPal
2637;7775;2;16/11/2023;S;2.8;Yes;Store Pickup;Yes;Yes;PayPal
383;2204;17;17/11/2023;M;3.7;Yes;2-Day Shipping;Yes;Yes;Venmo
837;2269;9;18/11/2023;S;4.2;Yes;Express;Yes;Yes;Credit Card
1253;9385;5;19/11/2023;L;4.6;Yes;Next Day Air;Yes;Yes;Debit Card
3401;7979;16;20/11/2023;M;4.5;Yes;Standard;Yes;Yes;Venmo
2481;5304;9;21/11/2023;M;4.1;Yes;Free Shipping;Yes;Yes;PayPal
2175;6034;20;22/11/2023;L;3.7;Yes;Store Pickup;Yes;Yes;PayPal
2560;225;4;23/11/2023;S;4.6;Yes;Free Shipping;Yes;Yes;PayPal
